time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1,69,28,5,0,4,0,19,33,62,61,0,34,3,47
2,59,66,0,0,49,14,0,4,0,29,25,26,0,17
3,38,37,0,0,37,9,26,4,32,8,0,67,0,0
4,53,41,0,2,27,6,26,21,50,10,0,71,0,18
5,64,26,2,0,38,54,71,25,27,0,0,73,0,30
6,66,29,0,2,19,13,16,5,33,0,0,65,0,0
7,31,7,9,10,52,33,0,18,36,0,0,38,0,0
8,36,55,0,13,40,8,0,25,93,0,9,53,11,52
9,78,30,17,36,0,51,0,6,103,0,22,27,19,5
10,18,52,29,14,0,51,0,17,68,0,34,26,34,0
11,23,8,21,0,6,39,0,27,91,0,0,5,12,1
12,53,0,0,0,28,32,10,53,33,0,0,4,24,25
13,51,9,0,8,36,21,0,65,14,0,0,0,12,43
14,46,33,16,2,28,18,0,12,43,0,0,0,16,40
15,38,50,6,23,32,33,7,92,99,0,0,0,30,60
16,49,47,36,0,22,31,27,81,116,0,0,0,26,44
17,29,57,62,0,9,33,10,36,52,0,0,0,0,31
18,24,53,43,20,12,22,5,6,101,0,6,0,0,38
19,35,7,12,19,40,29,10,0,55,0,24,0,20,44
20,35,3,0,0,6,48,10,8,47,19,0,31,64,65
21,36,38,0,48,2,59,16,45,66,14,0,0,33,46
22,36,62,0,10,1,47,3,64,42,14,34,0,16,7
23,28,59,40,52,13,29,15,63,26,2,69,0,8,0
24,43,40,33,1,56,30,11,47,2,0,40,0,0,0
25,0,19,44,0,42,34,2,36,36,0,50,0,31,16
26,35,33,25,0,60,33,8,4,15,8,92,0,17,15
27,71,49,39,12,56,21,1,0,26,30,59,0,72,68
28,31,55,42,21,0,23,4,61,25,0,65,0,37,29
29,44,35,68,70,0,8,0,21,71,1,58,0,49,34
30,65,48,26,43,0,5,0,24,88,13,69,0,21,46
31,12,4,20,23,44,55,2,15,79,19,60,0,9,28
32,8,76,12,68,58,46,9,85,51,0,94,4,16,43
33,36,38,46,82,53,37,13,66,58,23,27,52,0,51
34,36,64,61,46,28,32,16,37,0,0,51,1,0,46
35,18,38,52,89,14,26,0,0,0,25,85,0,6,42
36,18,35,52,39,0,46,36,9,0,17,55,0,20,48
37,7,5,34,17,7,11,13,67,0,18,25,5,1,37
38,42,51,53,69,0,43,0,68,0,50,79,9,1,68
39,7,57,45,60,0,6,13,58,0,55,43,45,0,67
40,41,61,48,37,0,0,0,35,7,78,49,26,2,43
41,20,57,26,43,21,0,0,11,32,33,79,29,0,60
42,51,34,69,32,2,13,8,7,70,45,83,71,0,59
43,15,34,4,23,0,49,32,24,0,31,75,52,0,57
44,19,65,32,7,0,31,41,19,61,3,69,53,0,64
45,15,42,50,36,0,56,48,0,72,3,43,71,13,45
46,50,33,44,35,0,28,38,24,75,38,48,44,0,59
47,61,72,48,7,0,41,0,19,69,10,44,38,0,73
48,35,32,51,94,1,63,0,0,32,0,89,62,0,35
49,42,25,70,54,76,70,0,0,29,26,93,47,23,62
50,37,5,27,65,79,45,14,0,42,38,80,77,17,51
51,52,23,44,95,86,78,37,42,81,57,3,42,9,50
52,37,33,80,73,104,92.80794454,81.40889421,52,74,33,16,21,0,49
53,35,51,71,59,109,57,48,4,72,15,13,7,0,23
54,9,32,88,46,50,45,48,10,74,16,41,38,0,0
55,9,29,47,70,31,56,50,3,23,35,53,3,34,0
56,37,73,69,60,18,17,11,35,29,19,14,0,49,0
57,47,30,27,62,24,36,58,67,96,60,96,15,52,0
58,43,4,68,72,68,17,49,41,11,46,86,28,29,12
59,35,24,9,40,19,37,53,53,85,6,85,0,112.927108,42
60,53,62,0,101,32,35,45,73,75,46,60,44,33,42
61,34,0,0,114.3688469,3,62,55,72,56,13,0,29,25,39
62,0,34,28,55,53,36,59,52,34,27,11,26,3,42
63,42,21,36,40,36,55,48,116.0874845,76,54,45,32,3,41
64,25,12,49,37,70,54,20,68,99,34,28,43,7,10
65,38,31,73,7,40,33,50,83,48,23,9,64,51,32
66,7,26,58,0,89,58,18,32,52,7,39,68,2,18
67,45,47,34,15,107,25,43,4,39,0,64,32,0,8
68,35,32,76,68,93,39,19,58,82,15,67,38,0,30
69,19,40,34,65,97,48,0,79,134,46,88,59,0,14
70,43,60,26,60,81,43,15,75,79,50,89,35,31,11
71,43,53,37,0,83,35,46,69,57,33,104,43,45,16
72,61,5,49,1,69,12,68,65,75,49,88,68,0,6
73,37,38,10,0,0,47,44,71,65,63,81,97,0,19
74,51,32,9,64,22,54,38,73,125,66,101,45,12,7
75,53,22,7,77,61,43,55,0,133,55,111,36,30,5
76,15,28,0,70,64,59,66,14,97,48,69,7,9,0
77,20,16,11,52,63,36,52,39,71,73,109,50,8,47
78,35,33,28,78,93,44,72,67,103,29,91,38,27,9
79,50,30,37,73,60,16,48,68,74,53,98,63,5,20
80,40,62,43,78,7,49,36,72,39,63,50,80,52,6
81,30,52,52,83,87,42,41,52,110,59,93,37,58,0
82,50,47,50,75,107,41,31,31,19,11,95,6,71,1
83,30,48,38,79,51,22,41,73,30,31,90,18,48,29
84,7,22,55,99,80,62,62,85,58,61,118.49866,80,45,11
85,27,13,70,26,89,43,61,75,64,66,87,58,75,0
86,64,37,61,50,43,41,50,78,116,0,54,35,74,1
87,60,15,75,94,71,69,64,79,119,28,67,32,39,0
88,59,0,31,81,50,60,34,66,106,17,89,32,38,6
89,12,4,41,106,89,46,65,28,121,37,28,0,24,24
90,14,27,54,79,112,61,40,17,130,61,87,32,45,0
91,41,53,17,61,93,59,44,89,121,61,47,33,47,0
92,12,79.54686296,53,85,99,43,61,89,134,51,28,70,89,0
