time (min),male1,male2,male3,male4,male5,male6
1,78,94,0,87,44,0
2,19,88,0,66,88,0
3,62,62,0,46,137,0
4,15,67,0,75,125,0
5,58,79,0,57,80,0
6,52,97,0,34,66,0
7,26,67,0,66,100,0
8,15,80,0,84,79,0
9,15,59,0,70,76,0
10,16,50,0,52,25,0
11,45,83,0,88,49,0
12,57,92,0,45,43,0
13,41,112,14,82,3,0
14,12,36,0,16,69,0
15,30,99,0,40,108,0
16,31,54,0,68,111,0
17,71,41,0,63,83,0
18,10,60,76,0,136,0
19,44,61,10,66,46,0
20,34,34,0,47,82,4
21,25,88,22,93,33,15
22,13,52,4,59,10,0
23,13,65,0,56,31,1
24,0,59,11,58,110,0
25,8,95,2,91,40,23
26,0,74,0,58,58,40
27,0,60,0,117,94,18
28,0,0,2,58,82,45
29,0,43,32,69,86,3
30,0,43,58,40,76,0
31,18,56,40,49,92,0
32,8,26,25,26,74,0
33,31,31,10,11,62,0
34,26,52,18,26,65,12
35,7,93,0,21,65,101
36,0,84,45,15,26,31
37,0,31,48,6,54,0
38,18,90,60,13,111,0
39,21,57,10,11,83,3
40,0,68,48,0,49,3
41,36,33,44,4,44,25
42,36,22,30,0,39,51
43,50,50,33,0,66,1
44,58,85,22,0,84,22
45,63,75,13,25,75,30
46,95,26,15,19,97,18
47,56,49,9,2,107,9
48,46,71,36,8,74,54
49,67,53,45,7,72,25
50,46,20,47,0,72,35
51,35,47,56,0,92,33
52,42,41,56,0,70,0
53,39,60,40,11,27,0
54,74,14,95,80,59,0
55,74,31,46,32,104,25
56,77,41,5,54,87,82
57,60,35,0,33,114,36
58,35,64,0,11,116,93
59,59,42,3,60,107,47
60,54,35,1,0,86,72
61,68,57,4,22,101,104
62,104,30,17,68,103,29
63,25,34,18,70,99,42
64,0,82,9,73,111,103
65,0,54,0,65,68,43
66,35,48,9,74,103,1
67,4,85,43,61,116,0
68,4,56,44,77,71,8
69,12,52,51,56,87,63
70,22,69,45,61,62,85
71,55,72,34,75,94,67
72,59,98,43,86,95,73
73,24,44,82,104,82,86
74,52,0,88,79,79,67
75,88,0,52,83,41,88
76,87,75,24,82,109,68
77,68,73,14,60,87,58
78,82,75,38,45,92,83
79,56,62,22,87,64,87
80,76,66,33,8,49,77
81,93,92,22,0,13,3
82,31,81,35,32,106,30
83,94,60,19,79,101,69
84,68,67,77,61,82,93
85,75,78,32,74,71,76
86,78,39,57,76,98,93
87,74,98,99,96,86,0
88,29,52,97,91,108,29
89,75,44,36,79,128,57
90,76,84,23,107,81,92
91,87,79,103,76,80,84
92,84,93,13,86,110,74
93,54,51,16,89,86,68
94,63,59,30,57,74,42
95,95,48,56,54,87,94
96,80,36,90,81,90,134
97,83,112,23,59,51,93
98,79,67,25,83,120,82
99,67,76,27,88,99,55
100,59,47,7,94,96,85
101,82,54,24,83,38,78
102,61,78,27,76,1,26
103,0,74,14,96,79,83
104,0,26,42,83,109,116
105,41,94,80,66,70,89
106,65,66,40,76,36,52
107,88,85,68,35,114,62
108,70,105,45,76,82,15
109,45,75,40,68,67,30
110,87,81,33,79,87,9
111,55,59,25,72,104,77
112,74,79,58,12,85,74
113,81,40,86,0,92,31
114,93,88,44,26,101,93
115,63,84,70,27,52,98
116,43,65,40,67,70,85
117,64,104,39,70,90,71
