time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1,7938.625514020303,8454.838926623568,20979.645748857547,54896.52424587753,55018.10858971814,26754.205152275837,15144.39747322848,19451.316567422626,36801.70981382008,13501.857332644457,25307.57053635412,8876.915322566778,14393.968858635058,11343.48684755297
2,7942.730041874261,8459.664636632351,20980.78533432623,54947.29911587326,55058.63322184288,26768.468743874953,15156.634436786244,19452.248046994566,36806.00393531911,13501.338253684973,25317.950131355552,8875.066835670328,14396.281854746132,11348.713728153096
3,7946.834581226891,8464.483290829508,20981.91995914334,54998.0530689294,55099.14117763494,26782.717392543538,15168.869392906,19453.18087991521,36810.29556890022,13500.818035378108,25328.313420418428,8873.22846889936,14398.602171583503,11353.949769686296
4,7950.9391055465385,8469.294863847801,20983.049603566677,55048.785852047906,55139.63231212162,26796.951023728634,15181.102287672193,19454.11499556582,36814.58463673335,13500.296666620767,25338.660340820763,8871.400215997539,14400.929786498431,11359.194978151925
5,7955.0435883081145,8474.099330349576,20984.17424786595,55099.49721210052,55180.10648040343,26811.169562949006,15193.33306720661,19455.050323360443,36818.87106107198,13499.774136319538,25348.990829901857,8869.582070634426,14403.264676763945,11364.449359462355
6,7959.148002993418,8478.896665027081,20985.293872323302,55150.18689583098,55220.56353765533,26825.372935795876,15205.561677668984,19455.98679274711,36823.154764253784,13499.25043339083,25359.304825063144,8867.774026405408,14405.606819574874,11369.712919442805
7,7963.252323091289,8483.68684260276,20986.408457233825,55200.854649856716,55261.00333912825,26839.561067933606,15217.78806525754,19456.924333208688,36827.43566870189,13498.725546760932,25369.60226376849,8865.97607683187,14407.95619204815,11374.9856638313
8,7967.356522097948,8488.469837829556,20987.517982906058,55251.500220671114,55301.425740149956,26853.73388510054,15230.01217620956,19457.86287426412,36831.71369692555,13498.199465366259,25379.883083545104,8864.188215361108,14410.312771222969,11380.267598278511
9,7971.460573517186,8493.245625491276,20988.62242966242,55302.12335464499,55341.83059612668,26867.89131310969,15242.23395680191,19458.802345469296,36835.988771521304,13497.67217815339,25390.147221983912,8862.410435366486,14412.676534060973,11385.558728347663
10,7975.564450860622,8498.01418040283,20989.721777839746,55352.723798028885,55382.21776254415,26882.033277849405,15254.453353351662,19459.742676418173,36840.26081517382,13497.143674079196,25400.394616740185,8860.64273014739,14415.047457446439,11390.859059514425
11,7979.668127647954,8502.775477410609,20990.816007789763,55403.3012969549,55422.58709496889,26896.15970528421,15266.670312216567,19460.683796743804,36844.52975065689,13496.613942111007,25410.62520553426,8858.885092929368,14417.425518186461,11396.168597166765
12,7983.771577407215,8507.529491392745,20991.90509987955,55453.855597438545,55462.93844904955,26910.27052145546,15278.884779795679,19461.625636119363,36848.7955008343,13496.082971226702,25420.838926152024,8857.137516864113,14419.810693011184,11401.487346604912
