time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1,517.6806729427744,789.1364188841875,375.916151693659,1181.0590927937633,285.75639027981885,80.98558918228282,1007.0250884289262,867.3802507326237,721.5880532899946,845.8576738619279,1738.614748966762,1298.0667681101595,368.9301154361372,1805.3058678702128
2,514.0944896849785,784.8539606603289,374.74304271518673,1169.4883432772572,289.475913437288,81.78991576930143,1009.6272248966183,860.620866991487,736.9120699423453,839.045068019616,1733.356106124938,1290.2941224034475,368.68350916457103,1795.7397532837635
3,510.3936556485025,780.4369725552671,373.41553861896375,1157.8146922123487,293.3405899711573,82.59903989330768,1011.9649948727501,854.0535937998923,752.1345116487603,832.2552123795273,1727.8321979494228,1282.2528389502083,368.1856283682063,1786.070880712394
4,506.57824554115433,775.887938961357,371.93532711731774,1146.0425677069659,297.3488809045884,83.41222596357926,1014.0346067607501,847.6785604871941,767.2332486619497,825.4881477178691,1722.040352573216,1273.9487558583623,367.429761636659,1776.2984135203299
5,502.3767708361345,771.2094306371353,370.3042564656553,1134.1764200192288,301.4989850173081,84.22873326953547,1015.8324811703754,841.495766480035,782.1862754205365,818.7438785016442,1715.9781803254689,1265.3878637313237,366.40908005573425,1766.421711447093
6,497.79979641051483,766.4041019844366,368.52439037345727,1122.2207189289,305.78883394148534,85.04781673915521,1017.3552575328725,835.5050820478044,796.9717627258376,812.0223735662354,1709.643580350608,1256.5762989257096,365.11671079137056,1756.4403229279299
7,492.8588285965273,761.4746882241485,366.5980637144193,1110.179951112291,310.21608767344156,85.86872769538236,1018.5998005652821,829.7062491273184,811.568108285671,805.3235668602696,1703.0347466519415,1247.520336778379,363.5458177870709,1746.3539762267949
8,487.566265150027,756.4240024748508,364.5279377228311,1098.0586175221836,314.77813054304846,86.69071460969286,1019.5632065623864,824.0988822284312,825.953985491849,798.6473582565361,1696.1501735438453,1238.2263848103469,361.68968901329555,1736.162569500565
9,481.9353414175572,751.2549327387761,362.3170533369293,1085.8612307742383,319.47206768218916,87.51302385202099,1020.2428094945043,818.6824694220775,840.1083903245359,791.9936144276098,1688.988660498233,1228.700975915,359.54182963055547,1725.8661599186316
10,475.9800730433768,745.9704387996952,359.96888135111357,1073.592312541369,324.2947220329015,88.33490043627069,1020.6361868891294,813.4563734120571,854.0106863024732,785.3621697846706,1681.5493163727795,1218.9507615377756,357.09606035076655,1715.4649519665527
