time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1,13890.613799412266,13329.104801320047,13374.420551977037,14053.211756019002,14030.884124747487,14389.75071344284,14025.53812091332,13466.045573442718,12871.435127343204,12845.733931671797,13073.23080901279,13241.309961400311,12467.412575876851,13130.91434275948
2,13887.12585849146,13328.386054362632,13372.883976071362,14055.566747210656,14031.03119654403,14388.396600901824,14023.320736702066,13464.88711156649,12870.663184995054,12847.144262581412,13074.164074853343,13242.992409569018,12470.873223235354,13129.38887556631
3,13884.045299534868,13328.150597498343,13371.53682632817,14057.92559109977,14030.823885784588,14386.435921768105,14021.891555627695,13464.023488300874,12869.226719730756,12849.598173882778,13075.376807458668,13243.977101031853,12475.166364374592,13127.39156300017
4,13905.260529102414,13336.44915596833,13383.992805403084,14053.213761945506,14037.803044471713,14400.052636793715,14040.680734009686,13473.405642605341,12874.93083341902,12847.992211824945,13074.77008641,13242.98252203983,12463.98799870753,13140.627758469209
5,13902.705403199303,13335.898985249507,13382.22311134854,14055.460164828515,14038.153234620197,14398.6686303296,14038.53933636324,13472.547414839237,12874.850515433147,12848.662083710806,13076.033370563702,13243.374308521834,12467.712179333297,13138.532258683008
6,13899.351725791843,13334.377613897184,13380.097633553196,14057.979065861611,14038.554307541473,14397.928095294345,14035.207017768225,13472.380840302456,12875.208854089838,12850.05662028194,13077.032317163812,13244.395877147437,12470.588686395988,13136.928446840666
7,13895.784800921869,13333.431215254075,13378.185585827841,14060.030613676998,14039.332309199299,14397.089194196045,14032.60977900793,13471.055471701045,12875.682557725375,12851.53064635644,13078.829525874206,13246.115122915176,12473.477005609331,13135.836549165633
8,13892.168620679522,13332.994179740499,13376.674545850165,14062.149197324192,14038.946460553929,14395.578859891824,14030.661464635725,13470.465221865968,12874.386604730718,12853.171318860988,13080.0838396716,13247.108557424906,12477.364156761252,13134.023885881259
9,13889.042554034404,13333.415072655718,13375.409984044889,14064.29127533888,14038.584153926482,14393.584191050073,14028.898853252742,13468.72658756318,12873.789199183935,12854.62393482397,13080.821142166064,13247.467544524545,12481.81746311852,13131.503296695051
10,13910.152237150663,13341.220877766273,13387.780222372563,14059.588710533515,14045.266434788677,14406.617516944209,14047.053197981779,13478.359657790113,12879.436664571002,12852.048560333673,13079.448977750542,13245.776548931868,12469.508532992073,13144.449677397828
11,13907.390943413893,13339.574580215762,13385.617693492906,14062.226702219787,14046.16782477912,14405.489254414182,14044.240189064292,13478.185245091241,12879.568122280132,12851.962498795257,13081.015662720212,13246.938346511908,12472.896825148426,13142.554433714411
12,13903.838122334862,13338.175812874624,13383.576740997696,14064.333093533034,14047.023979394942,14404.406300628534,14041.17308967368,13477.000580443295,12880.028747167358,12854.0322467258,13082.635367243323,13248.035219987562,12476.140433042743,13141.14226599289
13,13900.088628487194,13337.790002883457,13381.373964368848,14066.309934277957,14046.942039977695,14403.32462696145,14039.02060371611,13476.422576996645,12879.191180311573,12856.566719271901,13083.859533711753,13249.93665339184,12479.656078209364,13139.976467454519
14,13896.541833887033,13337.71718976217,13379.762408421431,14068.771582114745,14046.110702861757,14401.52050336926,14036.771983858065,13474.781290171046,12878.11184837591,12858.658432863993,13084.866066934595,13251.227127901602,12483.953030645756,13137.835970655678
15,13901.454839537922,13338.965216975346,13382.590697771315,14065.853772049417,14046.346578394649,14403.827581301388,14041.361187078384,13477.161970569736,12878.278265883664,12856.836468796773,13083.12129940774,13249.316414110914,12479.201336925842,13140.454707667306
16,13913.898137813521,13344.026439321004,13390.13875008992,14065.479379380318,14052.549939798495,14412.13233730933,14052.055668560137,13483.472589899211,12882.372979116868,12856.737338135612,13084.439879049625,13249.393886448146,12474.495138403787,13148.36570313956
