time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1,1026.6650050388268,981.875884134149,970.8645448415667,972.5642874176344,953.8613306380179,983.3796083989398,900.665602527152,940.2616685138988,966.9771021864525,898.84073178197,949.9863386819645,989.7404766840617,926.7593301338198,972.3238044665849
2,1026.5301126871625,981.6961472117349,970.6888219660398,972.3548511752205,953.6049950533686,983.149247729542,900.2376090055786,940.0488135105578,966.8541542862175,898.4942526498423,949.799557827466,989.5292738494464,926.5670532839504,972.2191866469277
3,1026.1700983862443,981.4279189753403,970.4481831546057,972.1160124921697,953.2764073853933,982.8399679408253,899.8349360365008,939.7523376312691,966.4841611935898,898.1250185640533,949.5155189389442,989.1157821018388,926.2256656686662,972.0628655783675
4,1025.5769735602569,980.8882827317665,969.9105486637875,971.531261150033,952.6628001267837,982.2421220283223,899.0833826935091,939.1614825412872,965.9167838696062,897.4876301810956,948.9430609372465,988.4762312604175,925.6478404351332,971.5975150610203
5,1024.7856347734257,980.1254465624435,969.2038927523623,970.7580581539808,951.8287583915661,981.4481882241364,898.1421005201594,938.3787383957512,965.1245306614269,896.5933274903961,948.1923315921938,987.6147275384493,924.8836752429272,970.9516885394148
6,1023.7894674571864,979.1782279461854,968.3066625347859,969.8053105964827,950.8381334129524,980.4709113739725,897.0771416410031,937.4265407230431,964.1042205870292,895.5705036477526,947.2676301752248,986.571913981736,923.9330263318135,970.1084241135778
7,1022.5337709845829,977.9889241988207,967.1397777450073,968.56811746437,949.5832166123538,979.2428354848611,895.677860954134,936.2073208146509,962.9046964201017,894.2600487966154,946.0643422212719,985.2674874076157,922.728366981665,969.0227860934666
8,1021.1269071914246,976.6183918913592,965.8307768234513,967.2489948161202,948.182345991619,977.8537493682304,894.2408115528086,934.88726476861,961.483115467927,892.8783453949578,944.7672499882427,983.7819639885951,921.3743886514096,967.797090638845
9,1019.4601855372609,975.0241877841456,964.2922403846999,965.6317375022496,946.4924841569032,976.2044158046156,892.4747429449003,933.3035373411997,959.8835854371725,891.1722850746578,943.2219541935497,982.0924595002784,919.8011310244452,966.3098806127784
10,1017.5906240498763,973.2748146911388,962.5648015460758,963.8779704241738,944.7020397410072,974.3919771544998,890.6589603513173,931.5350137524761,958.103075867111,889.4433528104807,941.5016983964622,980.2289829818188,918.072711814959,964.6374441003294
11,1015.4884699868436,971.274834371664,960.625192088498,961.848674817362,942.6191226228964,972.3099744744376,888.5549978685114,929.5015330731089,956.0570218341361,887.4338166305533,939.5296500532776,978.0886222830584,916.0894783638854,962.7283076868989
12,1013.204952160497,969.1135101699639,958.5101670527064,959.6972753525384,940.4105593366534,970.0692837962289,886.3532010368664,927.3639218831953,953.8576883861915,885.2394626465369,937.4135169290836,975.8042042437354,913.9870210892583,960.6721949197454
13,1010.7223044027563,966.7353198731786,956.212053617275,957.34677728478,937.9998354386278,967.6648334137011,883.9541151027338,925.0129758111775,951.4927772038615,882.9363622050826,935.1462674006746,973.3148677931719,911.701664562235,958.4465061425161
