time (min),male1,male2,male3,male4,male5,male6
1,30149.71005998703,51134.44112358852,17444.406935320658,52226.73859597198,35869.17137832778,40064.0050184407
2,30138.16151354442,51136.035710649725,17446.185766788723,52214.11381873627,35861.43356119158,40056.97446242052
3,30126.602921454745,51137.62471542593,17447.95851551458,52201.4830789252,35853.667094760385,40049.94165111574
4,30115.03431070332,51139.20815418393,17449.725174310897,52188.84639845568,35845.87200820873,40042.90662912702
5,30103.455708362177,51140.786043296735,17451.48573605436,52176.20379928945,35838.04833094913,40035.86944115777
6,30091.867141590064,51142.358399244054,17453.240193685742,52163.555303433444,35830.196092631966,40028.83013201412
7,30080.268637632427,51143.925238612304,17454.988540209906,52150.90093294001,35822.31532314547,40021.78874660475
8,30068.660223821244,51145.48657809491,17456.730768695958,52138.24070990717,35814.40605261541,40014.74532994094
9,30057.04192757515,51147.04243449232,17458.466872277193,52125.57465647891,35806.46831140515,40007.699927136375
10,30045.413776399197,51148.59282471238,17460.196844151324,52112.902794845235,35798.50213011532,40000.65258340703
11,30033.77579788501,51150.13776577027,17461.9206775803,52100.22514724272,35790.5075395839,39993.603344071234
12,30022.12801971057,51151.677274788904,17463.638365890587,52087.54173595449,35782.48457088592,39986.55225454939
13,30010.47046964026,51153.211368999044,17465.34990247311,52074.85258331057,35774.43325533344,39979.49936036402
14,29998.80317552477,51154.74006573933,17467.055280783265,52062.15771168815,35766.35362447533,39972.444707139555
15,29987.12616530104,51156.26338245665,17468.754494341105,52049.45714351171,35758.24571009712,39965.3883406023
16,29975.439466992237,51157.78133670616,17470.447536731263,52036.75090125339,35750.10954422097,39958.33030658037
17,29963.74310870772,51159.29394615155,17472.134401603074,52024.03900743311,35741.9451591054,39951.27065100353
18,29952.037118642842,51160.80122856515,17473.81508267063,52011.321484618864,35733.7525872452,39944.20941990307
19,29940.321525079085,51162.30320182799,17475.489573712755,51998.59835542692,35725.531861371244,39937.14665941172
20,29928.59635638384,51163.799883930216,17477.157868573133,51985.86964252206,35717.28301445039,39930.08241576365
21,29916.861641010477,51165.291292971044,17478.819961160327,51973.13536861779,35709.00607968524,39923.01673529416
22,29905.117407498146,51166.77744715883,17480.475845447836,51960.39555647654,35700.70109051406,39915.94966443974
23,29893.36368447183,51168.258364811525,17482.12551547407,51947.650228909886,35692.3680806106,39908.88124973779
24,29881.600500642227,51169.73406435659,17483.7689653425,51934.89940877885,35684.00708388389,39901.81153782677
25,29869.827884805658,51171.2045643313,17485.406189221638,51922.14311899403,35675.6181344781,39894.740575445816
26,29858.045865844062,51172.66988338261,17487.037181345095,51909.381382515756,35667.20126677234,39887.66840943466
27,29846.254472724875,51174.130040267584,17488.661936011602,51896.61422235447,35658.756515380606,39880.59508673372
28,29834.453734500992,51175.58505385348,17490.280447585097,51883.841661570754,35650.28391515139,39873.52065438375
29,29822.643680310637,51177.03494311776,17491.892710494707,51871.06372327564,35641.783501167716,39866.44515952584
30,29810.82433937738,51178.479727148435,17493.49871923483,51858.280430630824,35633.25530874679,39859.368649401185
31,29798.995741009963,51179.919425143955,17495.098468365144,51845.49180684872,35624.69937343998,39852.291171351055
32,29787.157914602325,51181.35405641345,17496.691952510675,51832.69787519294,35616.11573103246,39845.212772816674
33,29775.310889633445,51182.783640377136,17498.27916636177,51819.89865897811,35607.50441754314,39838.133501339034
34,29763.45469566725,51184.2081965658,17499.860104674237,51807.09418157041,35598.86546922447,39831.05340455872
35,29751.58936235265,51185.62774462159,17501.43476226924,51794.284466387566,35590.19892256213,39823.97253021585
36,29739.714919423328,51187.04230429772,17503.00313403348,51781.46953689908,35581.50481427502,39816.89092615004
37,29727.83139669771,51188.45189545886,17504.56521491909,51768.649416626475,35572.783181314866,39809.808640300005
38,29715.93882407889,51189.85653808095,17506.1209999438,51755.82412914339,35564.034060866165,39802.72572070362
39,29704.03723155454,51191.256252251704,17507.67048419082,51742.99369807582,35555.25749034592,39795.64221549764
40,29692.126649196776,51192.65105817036,17509.213662808987,51730.15814710227,35546.4535074034,39788.55817291781
41,29680.207107162176,51194.04097614803,17510.750531012727,51717.317499953955,35537.622149920026,39781.47364129841
42,29668.27863569155,51195.42602660774,17512.281084082148,51704.471780414984,35528.76345600905,39774.38866907233
43,29656.34126510994,51196.80623008449,17513.80531736293,51691.6210123224,35519.87746401543,39767.3033047707
44,29644.39502582653,51198.18160722538,17515.32322626655,51678.7652195666,35510.96421251555,39760.217597023046
45,29632.439948334504,51199.55217878981,17516.834806270137,51665.90442609127,35502.02374031702,39753.13159455688
46,29620.476063211005,51200.91796564947,17518.34005291656,51653.03865589365,35493.056086458455,39746.04534619763
47,29608.503401116966,51202.27898878858,17519.83896181444,51640.167933024684,35484.061290209305,39738.95890086845
48,29596.52199279706,51203.6352693037,17521.331528638195,51627.29228158921,35475.03939106946,39731.87230759023
49,29584.53186907965,51204.98682840419,17522.81774912803,51614.41172574607,35465.990428769226,39724.785615481196
50,29572.533060876525,51206.33368741207,17524.297619089964,51601.52628970827,35456.914443269,39717.6988737569
51,29560.525599183038,51207.67586776214,17525.771134395836,51588.63599774319,35447.81147475894,39710.61213172996
52,29548.50951507773,51209.01339100224,17527.23829098337,51575.74087417267,35438.68156365891,39703.52543881002
53,29536.48483972248,51210.34627879298,17528.69908485612,51562.84094337318,35429.5247506181,39696.43884450352
54,29524.451604362195,51211.67455290824,17530.153512083572,51549.93622977596,35420.3410765148,39689.35239841344
