time (min),male1,male2,male3,male4,male5,male6
1,1243.607780199,2046.6239525348374,565.3875088794114,4095.780063252662,1710.828446740103,1333.5345226181842
2,1222.9957950333537,2038.5035345519645,560.3595145270798,4077.838319794188,1683.2868288694879,1333.5147916452572
3,1202.3223662632988,2029.4750887303376,555.1966023882535,4059.3380038699393,1655.952188204198,1333.4260490768388
4,1181.6151267980485,2019.5510894188862,549.9057784121015,4040.2889114557192,1628.835109837387,1333.2670279357053
5,1160.899469621527,2008.7451887202892,544.4941722844212,4020.701030047937,1601.9457126127277,1333.036439755004
6,1140.1985502104787,1997.0721864560278,538.9690155024006,4000.584530848171,1575.2936477890037,1332.7329760507469
7,1119.5333018218394,1984.5479975027647,533.3376174406861,3979.9497608916695,1548.8880986061088,1332.3553098892255
8,1098.9224639755562,1971.1896166069942,527.6073397099186,3958.8072351257815,1522.7377807302898,1331.9020975477397
9,1078.382624455018,1957.015080793425,521.7855691443186,3937.1676284441787,1496.8509435547983,1331.3719802668008
10,1057.9282751130256,1942.0434294907081,515.8796897834779,3915.0417676828006,1471.2353723304484,1330.7635860916976
11,1037.571881705561,1926.294662505604,509.89705423462965,3892.440623583304,1445.8983910990548,1330.0755318010497
12,1017.3239678781896,1909.7896959836796,503.84495481474517,3869.375302729801,1420.846866401378,1329.3064249197348
13,997.193213301476,1892.5503165009075,497.7305948766066,3845.85703946459,1396.0872117298773,1328.454865813286
14,977.1865657940592,1874.5991334362684,491.5610607192934,3821.897187788587,1372.0261618694797,1327.519449860646
15,957.3093670878084,1855.959529780459,485.34329447148366,3797.50721325207,1349.6348677851634,1326.4987697019062
16,937.5654916823571,1836.6556115401165,479.0840683157649,3772.698684841275,1327.516931239465,1325.3914175573912
17,917.9574980109343,1816.712155900653,472.7899603943583,3747.4832668664144,1305.6777889782004,1324.1959876142812
18,898.4867909009129,1796.154558313634,466.46733270187264,3721.872710856566,1284.1224650508311,1322.9110784766663
19,879.153794066909,1775.00877867687,460.1223112298074,3695.878847466842,1262.855576370884,1321.5352956747606
20,873.7661313332245,1753.3012867767927,453.7607685815102,3669.5135784032213,1241.8813388516357,1320.0672542287793
21,875.6802139432913,1731.0590071634613,447.38830922631536,3642.7888683703572,1221.203574088963,1318.505581262788
22,877.4620377343151,1708.309263628492,441.01025750887067,3615.7167370476145,1200.8257165627294,1316.848918663602
23,879.110044678022,1685.0797234554818,434.6316484755483,3588.3092510985502,1180.7508213274743,1315.0959257797363
24,880.6227566025071,1661.398341611086,428.25722152567175,3560.5785162189995,1160.981572162804,1313.245282155092
25,881.9987760454452,1637.2933050427519,421.89141684244527,3532.5366692288585,1141.520290153505,1311.2956902920544
26,883.2367870223153,1612.7929772463192,415.53837450829496,3504.1958702126235,1122.368942669164,1309.2458784384303
27,884.3355557095747,1589.2925845925931,409.20193616304573,3475.568294713684,1103.5291527129552,1307.0946033925718
28,885.2939310428693,1568.7362606455715,402.88564902215666,3446.6661259872917,1085.002208609126,1304.8406533208833
29,886.1108452304903,1547.873439649623,396.5927720371303,3417.501547317129,1066.7890739987824,1302.4828505818534
30,886.7853141824323,1526.726594686402,390.3262839520289,3388.0867344002463,1048.8903981136853,1300.0200545505836
31,887.3164378555316,1505.318153987333,384.08889298946633,3358.433847805214,1031.306526297908,1297.4511644377994
32,887.7034005152908,1483.6704624057033,377.88304788692784,3328.5550255081575,1014.0375107475331,1294.7751220971854
33,887.945470915127,1461.805743866877,371.71095000002333,3298.4623755113203,997.0831214388747,1291.9909148149036
34,888.0420023938972,1439.7460648818449,365.5745661932921,3268.1679685488198,980.4428572161457,1289.0975780750798
35,887.9924328926729,1417.5132992039207,359.47564225123193,3237.683830884051,964.1159570099954,1286.0941982950424
36,887.7962848918504,1395.1290937026627,353.415716561802,3207.0219372032693,948.1014111588848,1282.9799155241028
37,887.4531652697991,1372.6148355233152,347.39613385110187,3176.1942036097485,932.3979728059097,1279.7539260996834
38,886.9627650843433,1349.9916205939942,341.41805878033483,3145.212480722848,917.004169344369,1276.4154852545928
39,886.3248592784902,1327.2802235368222,335.4824892535001,3114.0885468862875,901.9183138861075,1272.9639096693763
40,885.539306311898,1304.501069032955,329.5902693252716,3082.834101489814,887.1385167274991,1269.3985799636246
41,884.6060477196908,1281.6742046852535,323.7421016419343,3051.460758408423,872.6626967887412,1265.7189431203165
42,883.5251076002859,1258.8192754160657,317.9385593926429,3019.980039563208,858.4885930030737,1261.9245148372718
43,882.2965920340145,1235.9554994313464,312.1800977922326,2988.4033686077755,844.6137756334456,1258.0148817999525
44,880.920688434373,1213.1016457760857,306.4670651589129,2956.742064744205,831.0356574951546,1253.989703869973
45,879.3976648338074,1190.2760134998964,300.79971368905524,2925.007336672338,817.7515050639694,1249.8487161838068
46,877.7278691060455,1167.4964124455296,295.17821006563275,2893.21027667616,804.7584494503249,1245.591731156334
47,875.9117281269848,1144.7801456670989,289.60264606556086,2861.3618548509453,792.0534972212207,1241.2186403840678
48,873.9497468762611,1122.1439934790344,284.07304935315904,2829.4729134747276,779.6335410525531,1236.7294164430468
49,871.8425074816486,1099.604199131099,278.5893946614593,2797.554161527544,767.4953701957212,1232.1241145766228
50,869.5906682084877,1077.176456099333,273.15161556944673,2765.6161693619306,755.6356807434859,1227.4028742685468
51,867.1949623963828,1054.8758969775527,267.7596170812319,2733.669363527826,744.0510856811485,1222.565920697002
52,864.6561973454428,1032.7170839489725,262.41328920242154,2701.7240217551894,732.7381247103156,1217.6135660654834
53,861.9752531543838,1010.7140008127446,257.1125216897631,2669.790268097302,721.6932738335943,1212.5462108066358
54,859.1530815128102,988.8800465356522,251.8572201227918,2637.8780682378097,710.9129546897589,1207.364344655463
55,856.1907044500365,967.2280302949496,246.64732341136977,2605.9972249643033,700.3935436300059,1202.0685475885768
56,853.0892130428198,945.7701679743391,241.48282281145467,2574.157373811187,690.1313805270865,1196.6594906264243
57,849.8497660843672,926.01466253646,236.36378247426066,2542.3679788744694,680.1227773101836,1191.13793649575
58,846.4735887170121,908.6246920519657,231.29036150231798,2510.6383288009465,670.3640262195048,1185.5047401498296
59,842.9619710309381,891.3627092762262,226.2628374312379,2478.9775329541594,660.8514077756433,1179.7608491443189
60,839.3162666313174,874.2366928225999,221.2816309996233,2447.3945177593414,651.5811984597973,1173.9073038669003
61,835.5378911762532,857.2542026727101,216.3473320131436,2415.898023229478,642.5496781019843,1167.945237619194
62,831.62832088786,840.4223820944504,211.46072605381724,2384.4965996744027,633.7531369753515,1161.8758765497498
