time (min),male1,male2,male3,male4,male5,male6
1,12657.696160563026,13617.147105651113,12829.731977104708,12713.376130846602,12325.672111480992,13412.942568247896
2,12656.749247247179,13613.255821121837,12830.224788826692,12706.620221865673,12319.446715632612,13412.117475419593
3,12654.395342109328,13608.6469216608,12829.426183060044,12700.937835118057,12314.693705877606,13411.874644512407
4,12672.991538995684,13631.874232642169,12836.685965230701,12733.200758675006,12341.621594965747,13422.52434114849
5,12668.264918873736,13628.519465531332,12835.518012989856,12728.39224496941,12337.709924747447,13421.516647764829
6,12664.153239860429,13626.333275554225,12835.87355309453,12721.74070615815,12332.717114931858,13420.525012145494
7,12662.00242966906,13622.980931699432,12836.062436477148,12714.346212560778,12327.035608186403,13420.692023710753
8,12660.42365987597,13618.656870952349,12835.140075841011,12708.118590015723,12322.088362639808,13420.854692637007
9,12657.779142118326,13613.587234876632,12832.642420124295,12703.356541761621,12316.670595272053,13419.491941643653
10,12675.513014972184,13636.862548218935,12842.0324496386,12735.12278416996,12343.402391565212,13428.92843871903
11,12670.356746243651,13634.352720713845,12841.924368131171,12729.921136553958,12339.258024652363,13428.731110904937
12,12667.480051499488,13632.093552213542,12839.395435845245,12722.814694147322,12334.697603979641,13428.037894977904
13,12666.07407547178,13628.29189572229,12840.921814953897,12714.82031931602,12328.968479642946,13428.138917506878
14,12663.952055122358,13623.488017214255,12840.033954420596,12709.119772752583,12323.367960543876,13427.220652207896
15,12668.810965511871,13628.196405948687,12839.326175568192,12719.471373031247,12330.63616314857,13429.336060738417
16,12677.627318204373,13642.158420804555,12845.98244928219,12736.264250021055,12344.829556592991,13437.021739006965
17,12672.936525856472,13639.616705969023,12844.846798955377,12730.130728765582,12341.074543962824,13435.217424724278
18,12670.509615727195,13636.775914185122,12845.303551175717,12723.085646084357,12335.035417724808,13434.63188137817
19,12668.496237581408,13632.843211165691,12844.743903035096,12716.361300453873,12330.226887849654,13434.614328535043
20,12667.633583683459,13628.830334838012,12842.743080146765,12713.034047778825,12327.008765431727,13434.570161493053
21,12676.09497575782,13638.733692514967,12847.328364863024,12729.026455150788,12339.52803230077,13438.17880242829
22,12679.179139013811,13646.14770755347,12848.315367383937,12736.811295444848,12346.315678857856,13442.694111052413
23,12675.353864523591,13644.013222485188,12847.854809601615,12729.768594043608,12341.112444503457,13442.044931590068
24,12673.26817647891,13640.90304493398,12849.99308438355,12722.188105283136,12336.059529205648,13441.63822477597
25,12670.758986095656,13635.97476703504,12847.804066583813,12716.364462130843,12329.655838329238,13440.20834015966
26,12673.745238579728,13637.613273975154,12847.961789383246,12721.795320284384,12334.624964838964,13441.238253817433
27,12680.062189214223,13647.102225456243,12851.447755389147,12734.59425770921,12344.912970814386,13446.781708036875
28,12680.656382267525,13650.58941166132,12853.141537799516,12736.871670208922,12346.93166569864,13449.287727375771
29,12677.763698619297,13648.216001984021,12851.603911401875,12729.486241179673,12341.158954995492,13448.021420902161
30,12674.49134063718,13644.397368745977,12850.36382693689,12722.652643744754,12335.962804224335,13447.042208834826
31,12674.40015883784,13641.419176086618,12851.685853826259,12720.304320470897,12334.239414425396,13446.693814832131
32,12678.317372082243,13644.778959157187,12851.949643788634,12727.088352752204,12339.36615525412,13448.906647538546
33,12683.697762121383,13653.634408109885,12854.191595982955,12737.635360627453,12348.473571728544,13453.084381323457
34,12682.025854244563,13654.161012411403,12855.17243353699,12734.700169589165,12345.915578545366,13454.536059008164
35,12678.794533086455,13651.104339703137,12855.003126283693,12727.82117728953,12341.271023881704,13452.546076382714
36,12675.477609188974,13646.812569776297,12852.336792827795,12721.811691756975,12334.698727178778,13451.196369951842
37,12678.08812649797,13647.817316966535,12853.737157219884,12724.53461451461,12338.464903927046,13452.359501359546
38,12680.658727005484,13651.557997237669,12856.064059684279,12730.811544749447,12342.963886408184,13455.721655581412
39,12685.487948540267,13658.890997705177,12858.330993479747,12738.974792229728,12349.62754350254,13460.499741434905
40,12682.72174507944,13656.806843682878,12857.266964287513,12733.547834148443,12344.81057551609,13458.747909209884
41,12678.619785949091,13653.73823063683,12854.669957939772,12727.48514192822,12339.62089160414,13455.93818735828
42,12678.29335105512,13651.339592828159,12856.208751152944,12725.53157900789,12338.829327735275,13455.632124957081
43,12680.527090888796,13652.325852580398,12857.240276719876,12727.831040974097,12340.575737867106,13457.860120883824
44,12684.077976920313,13656.66678049517,12857.628178234567,12732.177121291536,12345.110647274463,13460.157332263867
45,12687.879023848127,13662.2022266681,12858.920079054096,12737.52201875651,12348.452189183497,13464.77535935277
46,12682.936879041723,13659.056679520389,12859.049393333831,12731.593175209764,12343.744373344913,13462.644865595366
47,12678.849578097963,13655.476396848415,12856.488321935823,12727.070002566883,12338.39099633456,13460.073463035604
48,12680.148118121944,13655.395763000228,12858.100909858482,12727.528974565657,12341.098404608934,13459.434437568509
49,12682.328266451606,13657.23521662394,12858.95490573374,12729.176713025583,12342.315357052714,13462.748446780111
50,12685.836597666552,13660.855909044489,12860.00096449827,12732.375126359704,12345.763436671881,13466.211590275518
51,12686.758081214777,13664.063996801973,12860.068825348193,12735.325664749353,12347.13840431353,13468.02953085894
52,12681.059602088479,13660.253046163549,12857.70119437762,12729.697856895558,12341.968126338657,13464.096687425103
53,12679.062658347659,13658.110069284556,12859.282445495974,12728.976648644637,12341.185959984236,13464.502615245543
54,12680.376352940304,13658.361218789358,12859.4264071584,12727.875046460507,12340.787006809247,13464.980751416508
55,12683.839448245033,13660.344947722462,12860.746951807805,12728.451854760757,12343.248893873937,13466.460296352921
56,12688.029822415427,13663.503229772612,12861.05579978621,12731.164944709251,12343.37683844671,13470.80263403647
57,12686.842655952547,13664.974361455472,12860.81576002797,12732.150159745222,12344.786662286884,13470.52710474392
58,12680.802593117649,13661.714075143555,12858.581818579514,12728.665183121957,12340.683173635536,13467.262573097383
59,12679.403097187558,13660.606828568694,12859.360680498348,12728.330833805498,12342.349775747047,13466.90951252161
60,12680.859433207866,13661.562200791233,12860.571706620376,12726.696358259796,12340.875522876942,13469.105802592485
61,12684.768551723932,13662.900497164424,12861.012699994266,12725.224383507006,12343.169693230146,13472.366339362723
62,12686.839055318826,13665.292964507906,12860.552731466625,12728.98557653831,12342.54568152682,13473.350001957404
