time (min),male1,male2,male3,male4,male5,male6
1,886.9955706730591,979.8198376094539,887.0262754293975,928.1611394302846,954.7654881012006,872.2630307797099
2,886.6920715435213,979.6686178489672,886.784873564907,927.9678418770491,954.5942829754416,871.9851049968552
3,886.2621406888908,979.2630584131714,886.5101150020395,927.6030583032768,954.285770704602,871.6190549399583
4,885.6032273420592,978.6758379697072,885.9225851720207,927.0564548385307,953.7303114627831,870.9493100870737
5,884.6853696982686,977.8836283175319,885.1504738579804,926.1919655775561,952.9382228565464,870.0933052894567
6,883.6862284827145,976.873495072704,884.2407359976668,925.227967763501,952.0058509115458,869.1481855444507
7,882.3650092838483,975.6657041763814,883.0787139008429,924.0218469192557,950.7906918848277,867.9234068423181
8,880.9548887289551,974.2465325769869,881.8242367475843,922.6342191833281,949.4645604994869,866.5767161237178
9,879.259000797792,972.6013043974649,880.3173769855708,920.9804133311111,947.8560271057843,865.0164076918174
10,877.4752910990654,970.775038349302,878.6667238567202,919.2292991476022,946.1266740436243,863.2939641918542
11,875.4673914436017,968.6884873606442,876.765371385105,917.1544521272396,944.1314308746312,861.3586842340908
12,873.3167606996545,966.4817339552548,874.7429068680932,915.0661289219676,941.9957331341127,859.2981193667166
13,870.950482995736,964.0361531112104,872.5380236603833,912.6910392587728,939.6626471591329,857.045884356101
14,868.3650984368,961.3996264608452,870.0999392970098,910.0968391479057,937.0990136604344,854.5797316915907
15,865.6925518449008,958.5962232854733,867.5711217158827,907.3833130161145,934.3958092789427,851.9888132943895
16,862.7570348278555,955.5243620777416,864.7982508664555,904.4436565332998,931.4689576677777,849.1943176421136
17,859.6452548264222,952.3495637366979,861.8989257941804,901.3086810326479,928.4106566901609,846.2371031635632
18,856.3933307956155,948.9068999486658,858.8018589524115,897.9500492524949,925.115736767708,843.1095814990142
19,852.9735937657168,945.3409534560636,855.5423750408177,894.5089794993797,921.6473575705566,839.8253399953267
20,849.420205887624,941.623986395001,852.1297198332613,890.8848475075207,918.0259470280541,836.4011322709009
21,845.659500267929,937.6986126769797,848.5451279322097,887.058351239914,914.2640469775969,832.8018536469898
22,841.7269578072185,933.5732441253966,844.8154479209305,882.9866198671878,910.2769855818498,829.0762603917622
23,837.6084912358748,929.2623366060487,840.9326220772604,878.8666998891614,906.1266877575879,825.1463169337351
24,833.4563992353959,924.809760157326,836.9436135472301,874.5871318048685,901.8589024080592,821.1529915468395
25,829.0808767845815,920.2567409487912,832.7663225909629,870.0831703943044,897.4438061125832,816.977577182835
26,824.6415051938361,915.5277082214309,828.4937574520204,865.5056488773372,892.8982689155359,812.6538330341423
27,820.0424931068504,910.6071483152017,824.0729388437077,860.8434396813183,888.1559882161935,808.1923881591576
28,815.2184748701955,905.5110831808629,819.4453969874635,855.9009184774471,883.2529885313685,803.6388931278668
29,810.3130300598575,900.3246154696907,814.7813486084685,850.7831723760863,878.2687701367688,798.9589095477197
30,805.2528364200301,894.976852508848,809.8889039121531,845.5470578307744,873.0713449823049,794.0846763190351
31,799.9893071307772,889.4638989054965,804.8562548925171,840.2377487843895,867.7304470792357,789.0640735473328
32,794.7404161981704,883.8390899250923,799.7633875454958,834.7600043375709,862.3335631640397,784.022007910285
33,789.3827080298953,878.0829291772435,794.6105712087403,829.2169734804357,856.8012955504188,778.8972747288623
34,783.8807241646796,872.2140254958471,789.3307107624629,823.5778170344403,851.1463579212148,773.6139262998702
35,778.2063788949519,866.1326998963137,783.7960878084244,817.6542444669835,845.2729398944354,768.122670127296
36,772.543602401011,860.1337062027146,778.330532028419,811.7620754091198,839.4787892620484,762.6971593079561
37,766.5752349285008,853.770641999853,772.5857963844775,805.6235110006697,833.3320611394707,756.991188540889
38,760.6607215689311,847.4422226576874,766.8887672206666,799.5883609320512,827.2382529073254,751.3421329503251
39,754.6583763206496,841.0915193864145,761.1088449852036,793.3514905377747,821.1150132177842,745.6075847122569
40,748.6782945330192,834.5873505606795,755.3007048589144,787.0313615007914,814.8751431138479,739.820157381396
41,742.4266001039174,827.9667872096924,749.2719026345371,780.600017161489,808.4755261663169,733.8212445497506
42,736.1977452253169,821.2514029300787,743.1973844950948,774.1198267127604,801.9880491314481,727.8618249706467
43,729.8894878204774,814.5273893104368,737.1097766224581,767.5925741027181,795.4725685567736,721.8022466161106
44,723.3099689118778,807.553584799037,730.7720720651176,760.8541247259018,788.7176753750135,715.5236126642161
